YYYY,Lending interest rate (%),Expense (% of GDP),General government final consumption expenditure (% of GDP),Exports of goods and services (% of GDP),GDP growth (annual %),GDP (current US$),"Unemployment, total (% of total labor force) (national estimate)","Inflation, GDP deflator (annual %)"
1960,4.820833333,,,,,5.43E+11,5.5,
1961,4.5,,,,2.3,5.63E+11,6.699999809,1.350153896
1962,4.5,,,,6.1,6.05E+11,5.5,1.244634712
1963,4.5,,,,4.4,6.39E+11,5.699999809,1.088386011
1964,4.5,,,,5.8,6.86E+11,5.199999809,1.503939679
1965,4.535,,,,6.4,7.44E+11,4.5,1.919825811
1966,5.625,,,,6.5,8.15E+11,3.799999952,2.898778535
1967,5.633333333,,,,2.5,8.62E+11,3.799999952,3.151279366
1968,6.3125,,,,4.8,9.43E+11,3.599999905,4.367188241
1969,7.951666667,,,,3.1,1.02E+12,3.5,4.95848845
1970,7.91,,17.96184302,5.563107529,-0.283491263,1.07E+12,4.900000095,5.535284891
1971,5.723333333,,17.9387904,5.405245311,3.293351639,1.16E+12,5.900000095,5.069167502
1972,5.248333333,17.79831289,17.62928912,5.538460336,5.258907357,1.28E+12,5.599999905,4.322751432
1973,8.021666667,17.89633051,16.77627517,6.68378028,5.645722556,1.43E+12,4.900000095,5.479880718
1974,10.79833333,17.88262429,17.1626728,8.196121904,-0.540551652,1.55E+12,5.599999905,8.998694614
1975,7.8625,19.4705455,17.61079563,8.232279109,-0.205456065,1.68E+12,8.5,9.262612058
1976,6.84,19.7324454,16.7879783,7.980892617,5.388139287,1.87E+12,7.699999809,5.503386406
1977,6.824166667,19.60298315,16.38796902,7.654290032,4.624153065,2.08E+12,7.099999905,6.213366677
1978,9.056666667,19.12358357,15.76671873,7.947060702,5.535304958,2.35E+12,6.099999905,7.033830777
1979,12.66583333,18.92108842,15.40364316,8.759034352,3.166145308,2.63E+12,5.800000191,8.296557091
1980,15.26583333,20.54416974,15.87683788,9.82645547,-0.256749674,2.86E+12,7.099999905,9.033076902
1981,18.87,21.00472055,15.81024377,9.517776667,2.537719307,3.21E+12,7.599999905,9.462144829
1982,14.86083333,22.46313987,16.58385143,8.469732989,-1.802887409,3.34E+12,9.699999809,6.178267499
1983,10.79416667,22.80273349,16.38378575,7.622264819,4.583913355,3.63E+12,9.600000381,3.916787196
1984,12.0425,21.47035885,15.72037736,7.489078324,7.23663315,4.04E+12,7.5,3.607705412
1985,9.933333333,22.17480195,15.91710861,6.98807254,4.169656223,4.34E+12,7.199999809,3.162445161
1986,8.3325,22.23061203,16.11459526,7.009254676,3.462645971,4.58E+12,7,2.013901491
1987,8.203333333,21.37433667,16.00120695,7.495919336,3.45925199,4.86E+12,6.199999809,2.472810009
1988,9.315,21.03032634,15.66816985,8.49052352,4.177061291,5.24E+12,5.5,3.527421458
1989,10.87333333,20.863127,15.62379688,8.938790197,3.67264815,5.64E+12,5.300000191,3.920348185
1990,10.00916667,21.55892932,15.90077315,9.254732068,1.885964957,5.96E+12,5.599999905,3.74332974
1991,8.463333333,22.88438583,16.31756983,9.660905122,-0.108264791,6.16E+12,6.800000191,3.381761558
1992,6.251666667,21.81838426,16.07868746,9.708914906,3.522440527,6.52E+12,7.5,2.278910322
