CASEID,PAGO,PAGO5,PEXP,PEXP5,AGE,SEX,MARRY,NUMKID
12071,5,5,3,3,18,1,5,0
12072,5,5,1,1,47,2,1,1
12073,3,3,3,3,74,2,4,0
12074,3,1,5,3,56,1,1,1
12075,1,1,5,5,51,2,1,0
12076,3,1,3,3,70,2,4,1
12077,1,1,1,1,27,1,3,0
12078,5,5,5,1,57,1,1,0
12079,3,1,5,1,35,1,1,4
12080,1,1,5,1,40,1,1,0
12081,5,3,3,3,29,2,3,0
12082,5,5,5,5,66,1,3,0
12083,1,5,3,5,72,1,1,0
12084,5,5,3,1,54,2,1,0
12085,5,5,5,8,58,1,3,0
12086,1,1,1,1,27,1,5,0
12087,5,1,5,3,65,1,1,0
12088,5,5,5,3,47,1,1,5
12089,3,3,3,9,75,1,1,0
12090,1,1,3,3,54,2,1,0
12091,1,1,3,1,21,1,5,0
12092,3,1,3,1,35,2,1,3
12093,3,3,3,3,60,1,1,4
12094,1,1,3,3,62,1,1,0
12095,1,1,1,1,50,1,1,0
12096,3,3,3,3,62,1,1,4
12097,3,5,5,5,71,2,4,0
12098,5,5,5,5,71,1,4,0
12100,3,1,1,1,19,1,5,1
12101,5,3,5,5,68,1,1,0
12102,1,3,1,1,35,1,1,2
12103,1,5,3,3,26,1,5,0
12104,5,1,5,3,21,2,5,1
12105,1,5,3,1,21,2,5,0
12107,5,5,5,5,62,1,1,2
12108,3,1,1,1,48,2,1,0
12109,3,3,3,5,85,2,5,0
12110,5,5,3,1,35,2,3,4
12111,3,1,1,1,23,2,1,0
12112,1,5,3,1,45,1,5,0
12113,1,5,1,1,21,2,5,3
12114,5,5,3,3,25,2,5,0
12115,3,5,3,1,32,2,1,2
12116,1,1,1,1,24,1,5,0
12117,5,5,1,3,51,1,1,0
12118,5,1,1,1,23,2,5,0
12119,3,5,5,5,33,2,1,2
12120,5,1,1,1,22,1,5,0
12122,5,1,5,9,57,1,1,0
12123,3,3,3,1,77,2,4,0
12124,3,5,3,3,29,2,4,0
12125,3,5,3,3,76,1,4,0
12126,8,8,1,1,22,2,1,1
12127,1,1,1,1,30,2,3,0
12129,1,1,5,5,58,1,1,0
12130,3,1,3,1,75,1,1,0
12131,5,5,5,5,32,2,1,3
12132,5,5,5,5,69,2,1,0
12133,3,5,3,9,47,2,1,0
12134,5,5,5,5,45,2,1,3
12135,1,1,1,1,23,2,1,0
12136,1,1,3,1,28,1,1,4
12137,1,1,5,5,38,2,1,2
12138,5,1,1,1,38,2,1,0
12139,1,5,1,1,22,2,1,0
12140,1,1,3,1,41,1,1,0
12141,1,3,3,3,70,2,4,0
12142,1,5,3,3,29,1,1,3
12143,1,3,1,1,78,1,1,0
12144,3,5,5,5,45,2,1,0
12145,1,1,1,1,44,2,1,0
12146,3,5,5,5,31,1,1,4
12147,1,3,3,1,27,2,1,2
12148,5,5,5,1,54,2,3,0
12149,1,1,3,1,31,1,5,0
12150,3,3,8,8,71,1,1,0
12152,1,5,3,1,20,2,5,2
12153,1,5,5,1,26,2,1,1
12154,3,1,3,1,42,2,1,3
12155,5,5,1,1,24,1,5,0
12156,1,5,3,1,37,2,1,3
12157,1,1,3,1,50,2,5,0
12158,3,1,5,8,60,2,1,0
12159,5,5,3,8,68,1,3,0
12160,5,1,3,1,35,1,1,2
12161,3,3,5,5,73,2,4,0
12162,5,5,5,5,71,1,1,0
12163,1,5,3,3,38,2,1,2
12164,3,5,3,3,69,1,1,0
12165,5,5,3,3,19,2,1,1
12166,1,1,8,3,56,2,1,0
12167,1,1,1,1,57,2,1,0
12168,5,1,3,5,26,1,1,2
12169,1,1,1,3,63,1,5,0
12170,5,1,3,5,56,1,1,0
12171,3,3,8,3,37,2,1,1
12172,5,1,1,3,64,2,1,0
12173,3,5,5,5,65,2,1,2
12174,5,5,3,3,76,2,4,0
12175,5,5,5,1,37,2,3,2
12176,1,3,1,1,41,1,1,3
12177,3,1,1,3,59,1,1,0
12178,5,5,1,1,33,2,1,0
12179,1,1,3,3,33,2,1,2
12180,1,1,3,3,47,1,1,1
12181,1,1,3,3,24,2,1,0
12182,1,1,1,1,24,1,1,1
12183,3,1,5,5,49,1,1,2
12184,5,5,9,3,70,2,4,0
12185,1,1,3,3,43,2,1,1
12186,1,1,1,1,27,2,1,1
12187,5,5,3,1,46,1,3,0
12188,5,1,1,1,39,1,1,2
12189,1,1,1,5,25,2,1,0
12190,3,3,8,8,67,2,4,0
12191,5,1,5,3,39,2,4,4
12192,5,1,1,1,25,2,1,2
12193,5,5,1,3,55,2,3,1
12194,1,1,1,1,40,2,1,2
12195,1,1,5,3,19,2,5,0
12196,1,3,5,3,50,1,1,0
12197,3,1,9,3,51,2,1,0
12198,5,1,3,5,55,2,4,0
12199,1,1,5,5,32,1,1,4
12200,1,1,3,3,65,2,4,0
12201,1,8,3,3,23,2,1,1
12202,5,5,3,5,31,2,1,2
12203,5,5,1,1,37,1,3,2
12204,5,3,3,3,30,2,1,3
12205,1,1,3,3,52,2,1,2
12206,3,1,9,3,40,1,5,0
12207,3,1,5,5,64,1,1,2
12208,1,1,3,3,26,1,3,0
12209,1,5,1,3,56,1,1,0
12210,3,1,5,5,26,1,1,3
12211,3,1,3,3,66,2,4,0
12212,5,1,3,3,18,1,5,3
12213,5,5,5,1,62,1,1,1
12214,5,5,1,1,37,1,1,2
12215,1,1,3,5,18,2,5,2
12216,5,5,5,8,83,1,1,0
12217,5,5,1,1,51,2,1,0
12218,1,1,3,3,62,1,1,0
12219,3,8,3,3,48,2,4,0
12220,3,1,3,3,36,1,1,2
12221,1,1,1,5,61,2,1,0
12223,1,1,5,1,41,2,1,1
12224,5,1,3,5,24,1,1,0
12225,3,1,3,3,59,1,1,0
12226,3,1,3,3,43,2,1,1
12227,1,1,3,1,18,2,5,0
12228,1,5,1,1,28,1,3,1
12229,1,8,1,3,40,2,1,3
12230,5,1,3,3,77,2,4,0
12231,1,1,3,3,33,1,3,0
12232,5,5,5,5,66,2,1,1
12233,1,1,1,1,24,1,5,0
12234,3,1,1,1,43,1,1,2
12235,5,5,1,1,41,1,3,0
12236,3,1,3,1,72,2,4,0
12237,5,1,1,3,52,2,1,1
12239,3,5,3,8,72,2,4,0
12240,1,1,3,1,31,1,3,0
12241,1,1,5,1,68,1,1,1
12242,5,1,5,5,53,1,1,3
12243,3,3,5,5,54,1,1,1
12244,3,1,1,1,24,1,1,1
12245,5,5,1,1,36,1,1,2
12246,1,5,3,1,24,2,1,1
12247,3,3,3,3,58,1,1,0
12248,1,1,1,3,31,2,1,3
12249,5,5,5,5,39,2,1,5
12250,1,1,3,3,45,1,1,2
12251,5,1,3,3,50,2,1,0
12252,1,5,1,1,32,2,1,1
12253,1,1,1,1,19,2,5,0
12254,3,1,3,5,32,1,5,0
12255,3,5,5,3,64,2,1,0
12256,5,5,3,3,67,2,1,0
12257,1,5,3,1,19,1,5,1
12258,5,3,5,8,66,2,5,0
12259,1,5,1,1,31,1,1,2
12260,5,3,3,1,60,2,4,0
12261,1,1,1,1,40,2,1,2
12262,5,5,9,5,43,2,1,2
12263,1,1,3,3,28,1,3,0
12264,3,5,1,1,23,1,1,0
12265,1,1,3,3,36,2,1,1
12266,1,8,3,1,26,1,5,0
12267,3,5,3,3,18,1,5,4
12268,1,5,5,5,40,2,3,1
12269,5,5,3,1,29,1,1,2
12270,3,5,5,5,68,2,1,0
12271,5,1,1,3,50,2,1,0
12272,1,1,1,1,22,1,5,2
12273,1,1,5,5,30,2,1,1
12274,1,1,3,3,34,2,1,2
12275,3,1,1,1,27,1,1,1
12276,5,5,1,5,26,2,1,0
12277,3,1,3,3,58,2,3,0
12278,5,5,5,5,33,2,1,0
12279,5,5,3,5,30,1,1,2
12280,1,1,1,1,55,1,1,0
12281,1,3,3,3,62,1,1,1
12283,1,1,5,3,24,1,1,0
12284,1,1,3,3,71,2,4,0
12285,5,5,1,1,25,2,5,0
12286,1,5,1,1,23,1,1,0
12287,5,5,8,8,60,1,1,1
12288,5,5,5,5,59,2,1,0
12289,5,1,1,1,26,2,1,3
12290,3,3,3,1,49,1,1,1
12291,5,1,5,5,46,2,1,3
12292,1,1,3,5,32,1,1,0
12293,5,5,5,5,65,1,1,0
12294,5,5,5,3,63,2,4,0
12295,3,5,3,3,72,1,4,0
12296,3,1,1,1,37,1,1,3
12297,3,5,5,5,60,2,1,0
12298,1,1,3,5,55,2,1,0
12299,1,5,1,1,33,2,3,1
12300,5,1,3,3,27,2,1,1
12301,5,1,3,1,35,2,1,3
12302,5,5,5,3,36,1,1,1
12303,5,5,5,5,41,2,3,1
12304,3,3,3,3,47,1,1,0
12305,5,5,5,5,58,2,5,0
12306,5,5,5,5,47,2,1,1
12307,1,1,3,1,32,2,3,0
12308,1,5,1,3,29,1,1,2
12309,3,1,3,1,38,1,1,4
12310,1,1,1,1,52,1,3,0
12311,5,1,3,1,28,1,5,0
12312,1,5,3,3,31,2,5,0
12313,1,1,1,1,32,1,1,1
12314,5,1,3,1,25,2,1,0
12316,5,5,1,1,35,1,1,3
12317,1,1,3,3,41,2,1,0
12318,1,1,5,3,31,2,1,2
12319,3,3,5,5,62,1,1,1
12320,1,9,3,3,21,2,1,2
12321,3,1,1,1,65,1,1,0
12322,1,1,1,1,26,1,1,2
12323,1,1,5,5,34,1,1,2
12324,1,5,1,1,36,2,1,1
12325,1,1,3,8,28,1,1,0
12326,3,3,3,8,76,2,4,0
12327,3,1,3,5,24,1,5,0
12328,5,5,5,5,29,2,1,1
12329,5,5,5,8,38,1,1,2
12330,5,1,3,5,34,1,1,2
12331,1,1,1,1,58,2,1,0
12332,1,1,3,1,40,2,1,4
12333,3,5,3,3,68,1,1,0
12334,5,5,1,1,28,2,3,3
12335,5,5,8,1,58,2,3,0
12336,1,1,3,1,29,1,1,1
12337,3,3,8,3,72,1,4,0
12338,5,5,5,5,57,2,3,0
12339,5,1,5,5,50,1,1,1
12340,1,1,3,1,31,2,3,0
12341,5,3,3,3,52,2,1,2
12342,1,1,9,1,34,1,1,2
12343,5,5,1,3,73,1,1,0
12344,5,5,3,5,42,1,1,5
12345,3,1,1,1,56,2,1,0
12346,3,1,3,3,50,1,1,2
12347,5,5,3,1,56,2,1,0
12348,3,1,3,3,55,2,1,0
12349,3,3,3,3,66,2,1,0
12350,5,5,5,5,66,1,1,0
12351,1,1,5,3,47,1,1,5
12352,1,1,3,1,25,1,1,1
12353,5,1,1,1,40,2,3,2
12354,1,1,3,3,18,2,5,0
12355,5,5,5,5,61,1,1,0
12356,1,1,5,1,19,1,1,0
12357,5,1,5,3,42,1,1,1
12358,1,1,1,1,33,2,1,0
12359,3,1,1,1,21,2,5,0
12360,1,1,1,3,65,1,1,0
12361,3,1,1,5,55,1,1,0
12362,1,1,1,1,25,1,5,2
12363,1,5,1,1,46,1,1,0
12364,3,1,1,1,37,1,1,3
12365,3,3,3,1,68,2,4,1
12366,1,1,1,1,25,2,1,1
12368,1,1,1,1,21,1,1,1
12369,5,3,1,1,49,2,4,0
12370,5,3,3,3,61,2,1,0
12371,5,1,1,1,29,1,1,1
12372,3,3,3,3,75,2,4,0
12373,1,3,1,1,33,2,3,4
12375,1,1,3,1,34,2,1,2
12376,1,1,1,3,37,2,1,3
12377,1,1,1,1,45,1,1,1
12378,3,3,3,3,65,2,4,0
12379,1,1,3,1,28,1,5,2
12381,3,1,3,1,31,1,3,0
12382,1,1,1,1,28,1,1,2
12383,1,3,1,1,35,2,1,2
12384,5,5,5,8,69,2,4,0
12385,3,5,5,3,42,1,1,0
12386,3,3,3,3,70,2,1,0
12388,3,1,1,3,34,1,3,0
12389,1,1,8,1,40,1,3,0
12390,5,3,5,5,47,2,1,2
12391,1,1,1,1,46,1,1,0
12392,5,3,9,9,50,2,1,0
12393,1,1,3,1,22,2,1,0
12394,5,8,5,5,69,1,1,0
12395,1,5,3,1,22,1,5,0
12396,1,1,3,1,26,1,5,1
12397,5,5,3,1,21,1,5,3
12398,5,5,5,5,76,2,1,0
12399,1,1,3,3,18,1,5,0
12400,1,1,1,1,20,2,5,1
12401,1,1,3,1,27,2,1,2
12402,1,1,1,1,25,1,5,0
12403,3,5,3,5,68,1,1,0
12404,1,1,5,1,22,1,5,0
12405,1,1,3,1,69,2,1,0
12406,3,5,5,3,62,2,4,0
12407,5,3,3,3,44,2,1,2
12408,3,1,3,1,27,2,1,1
12409,5,1,1,1,27,2,5,0
12410,1,5,3,1,19,2,5,0
12411,1,1,1,1,20,2,1,2
12412,1,1,3,1,27,1,1,0
12413,1,1,3,1,26,2,1,0
12414,1,1,3,1,31,2,1,2
12415,1,1,5,5,25,2,1,0
12416,1,1,5,5,32,2,1,0
12417,3,1,1,1,40,2,1,4
12418,9,1,3,3,54,2,3,0
12419,5,5,5,5,42,2,4,1
12420,3,5,3,3,61,2,1,1
12421,3,1,5,5,43,2,1,0
12422,3,1,3,5,32,2,1,1
12423,3,5,5,5,51,1,1,0
12424,1,5,3,5,30,2,3,1
12425,5,1,3,3,28,1,1,1
12426,3,3,1,3,26,2,5,0
12427,1,1,3,3,52,2,1,0
12428,1,1,1,1,28,1,1,0
12429,5,5,5,5,42,2,1,3
12430,1,1,3,1,22,2,1,0
12431,3,3,3,1,35,1,1,0
12432,5,1,3,1,51,1,1,0
12433,5,5,3,1,31,2,1,2
12434,1,1,1,1,28,1,1,2
12435,3,1,3,3,87,2,4,0
12436,1,1,3,1,23,1,5,0
12437,5,5,3,1,29,2,1,4
12438,1,1,3,5,59,1,4,0
12439,5,1,5,3,38,1,5,0
12440,5,5,5,3,41,1,3,0
12441,1,1,1,5,18,2,1,0
12442,3,1,3,3,26,1,1,1
12443,1,1,3,3,24,1,5,0
12444,5,1,3,1,20,1,5,5
12445,5,5,3,3,23,2,5,0
12446,5,5,1,1,40,1,1,1
12447,1,1,1,1,27,2,1,1
12448,1,1,1,3,23,1,1,2
12449,1,5,3,5,47,1,1,2
12450,5,5,5,3,31,1,5,0
12451,1,1,1,1,26,1,5,0
12452,3,1,3,1,46,2,1,1
12453,1,3,1,1,34,1,1,3
12454,1,1,3,5,38,1,3,0
12455,3,1,5,5,44,1,1,2
12456,1,1,1,1,18,2,5,4
12457,1,1,1,1,20,1,5,0
12458,5,1,5,5,51,2,1,0
12459,1,1,3,1,39,1,3,0
12460,5,1,1,1,52,1,1,2
12461,5,3,3,3,38,2,3,2
12462,3,5,3,5,65,2,4,0
12463,5,5,1,1,29,2,3,2
12464,3,5,3,3,40,2,1,2
12465,1,1,5,3,69,2,4,0
12466,3,1,3,3,50,2,4,0
12467,1,1,3,3,35,2,1,0
12468,5,5,3,3,45,2,1,1
12469,1,1,3,1,19,1,5,0
12470,3,1,3,3,62,2,4,0
12471,3,1,3,3,18,2,5,1
12472,3,5,5,1,20,2,5,0
12473,3,3,1,3,54,2,1,0
12474,1,1,3,3,23,2,1,2
12475,1,3,3,5,65,1,1,0
12476,5,5,5,5,67,2,1,0
12477,8,1,1,1,18,2,1,0
12478,5,5,5,5,40,2,3,5
12479,3,1,3,1,29,2,1,2
12480,1,1,3,1,23,1,5,0
12481,1,1,8,1,26,1,1,0
12482,5,1,3,1,25,1,1,2
12483,5,5,3,3,59,2,4,0
12484,3,5,3,3,27,1,1,0
12485,1,1,3,1,46,1,1,2
12486,3,5,3,1,55,1,1,2
12487,5,1,3,1,24,1,5,3
12488,5,5,1,1,28,1,5,0
12489,1,1,3,1,24,1,1,2
12490,1,1,1,1,30,2,1,1
12491,1,3,3,1,40,2,1,3
12492,3,5,3,3,25,1,1,1
12494,5,5,1,1,20,2,5,0
12495,5,5,3,3,68,2,4,0
12496,3,5,5,5,70,2,1,0
12497,3,5,3,3,53,1,1,0
12498,1,1,1,1,45,2,1,1
12499,1,1,3,8,30,2,5,0
12500,1,1,8,3,62,1,4,0
12501,1,1,1,1,32,2,1,2
12502,1,1,3,1,25,1,1,0
12503,1,1,3,1,53,1,1,0
12504,5,3,3,3,38,1,1,2
12505,1,1,8,8,58,2,1,0
12506,3,1,3,1,24,2,1,1
12507,1,1,3,1,46,1,1,2
12510,1,1,1,1,46,2,1,0
12511,1,1,3,3,27,2,1,1
12512,1,1,1,1,22,2,1,1
12513,5,5,3,1,26,2,1,1
12514,1,1,3,3,48,2,3,0
12515,3,1,3,3,55,2,1,0
12516,3,3,5,3,78,2,4,1
12517,1,1,1,1,25,1,3,1
12518,1,5,5,1,25,1,1,2
12519,1,1,1,1,25,1,5,0
12520,3,1,3,3,51,2,1,0
12521,5,5,5,5,37,2,1,2
12522,1,5,3,5,24,1,5,1
12523,1,1,5,8,64,2,1,0
12524,5,3,5,3,65,1,3,0
12525,5,5,1,3,41,1,1,2
12526,1,1,3,3,46,1,3,0
12527,1,1,5,5,43,1,5,0
12528,1,1,3,1,34,1,1,2
12529,5,5,5,5,72,2,4,0
12530,5,1,3,3,65,2,3,0
12531,1,1,3,1,37,1,1,1
12532,5,1,1,1,23,1,5,0
12533,3,1,3,8,65,2,4,0
12535,5,5,3,3,34,2,1,2
12536,1,3,5,5,34,2,1,3
12537,5,1,1,1,24,2,5,0
12538,5,5,3,3,40,2,1,1
12539,5,1,1,1,19,1,1,2
12540,1,3,1,1,28,1,1,1
12541,1,1,1,1,43,1,3,0
12542,1,1,1,1,30,1,1,0
12543,5,1,3,3,64,2,1,2
12544,5,5,5,9,66,2,4,0
12545,1,5,5,3,25,1,1,0
12546,1,1,3,1,37,2,1,5
12547,3,5,3,1,38,2,3,3
12548,5,5,5,5,36,1,1,1
12549,5,5,5,5,21,1,1,1
12550,1,9,5,5,34,2,3,1
12551,3,5,3,1,22,1,5,0
12552,5,1,3,3,41,2,1,3
12553,1,1,3,1,61,2,1,0
12554,5,1,1,1,53,1,1,0
12555,3,3,5,5,58,2,1,0
12556,5,5,5,5,28,2,3,2
12557,1,3,5,1,49,1,1,2
12558,1,3,3,3,83,2,4,0
12559,1,1,1,1,24,2,1,2
12560,3,1,3,3,66,2,1,0
12561,5,5,3,1,30,2,3,2
12562,1,1,3,1,23,1,1,0
12563,1,1,3,1,21,1,5,0
12565,5,5,5,5,46,1,1,1
12566,1,1,3,1,37,1,1,1
12567,5,5,5,5,46,1,1,5
12568,5,5,5,5,55,2,1,3
12569,5,5,1,1,27,1,5,0
12570,1,1,3,1,44,1,3,0
12571,1,3,3,3,30,1,1,0
12572,5,5,5,5,63,2,5,0
12573,3,1,3,5,58,1,1,0
12574,5,1,1,1,30,2,1,0
12575,3,5,5,5,46,2,1,0
12576,1,1,1,1,28,2,1,0
12577,5,5,5,5,47,1,1,1
12579,1,1,1,1,24,1,1,1
12580,1,1,3,1,22,2,5,0
12581,3,1,3,1,49,2,1,0
12583,1,1,3,1,30,1,1,1
12584,5,3,1,1,33,2,5,0
12585,1,1,1,1,32,1,1,2
12586,5,5,3,1,31,1,1,2
12587,5,1,5,3,48,2,3,0
12588,3,1,8,8,29,1,1,1
12589,5,3,5,1,55,2,3,0
12590,1,1,1,1,38,1,1,5
12591,1,3,1,1,35,2,1,3
12592,5,5,9,8,42,2,1,2
12593,3,5,5,3,56,2,4,0
12594,5,5,8,1,31,2,3,0
12595,3,3,5,1,19,1,5,0
12596,1,1,5,5,25,1,1,0
12597,5,5,5,8,83,2,4,0
12598,1,5,1,5,22,1,5,0
12599,5,5,3,5,42,2,1,3
12600,3,1,1,1,26,1,1,2
12601,1,1,1,1,68,2,4,0
12602,3,1,3,1,40,2,1,4
12603,5,3,3,5,49,2,1,1
12604,3,3,1,8,40,2,1,2
12605,1,1,3,3,66,1,1,0
12606,5,5,5,3,50,1,4,1
12607,3,1,5,1,36,1,1,4
12608,1,5,3,1,34,1,1,2
12609,1,3,3,1,19,1,5,3
12610,1,1,5,5,40,1,1,2
12611,1,5,3,5,35,1,1,2
12612,5,1,5,1,22,2,3,0
12613,1,1,1,1,27,2,1,0
12614,3,5,1,1,34,1,1,3
12615,3,5,5,5,55,2,1,0
12616,1,1,1,1,48,1,1,2
12617,5,5,5,5,62,2,1,0
12618,3,1,3,3,56,2,4,0
12619,1,1,1,1,39,2,1,2
12620,3,1,3,3,56,2,1,0
12621,3,1,3,8,56,2,4,0
12622,1,1,5,1,27,1,1,1
12623,3,5,5,5,43,1,1,0
12624,3,5,3,1,40,2,3,1
12625,5,1,5,1,27,2,5,0
12627,3,1,3,3,62,2,1,0
12628,3,5,1,1,46,1,5,0
12629,1,1,3,8,80,1,1,0
12630,3,5,3,3,42,1,1,5
12631,3,1,5,5,24,2,3,1
12632,3,1,1,1,38,1,1,3
12633,1,3,3,3,41,2,1,2
12635,1,1,1,1,25,1,5,0
12636,5,5,3,3,80,2,4,0
12637,3,1,1,1,36,2,1,3
12638,3,3,5,5,59,1,1,0
12639,5,5,3,1,28,2,3,1
12640,5,5,5,5,65,2,1,0
