,index,YYYY,ICE,UNEMP,GOVT,RATEX,INCOME,INVAMT,STL5
0,0,1990,87.49685490877498,2.522154648132059,3.0286707211120762,2.519548218940052,37000.0,5535460.038227628,3.0
1,1,1997,109.31975609756098,2.9560975609756097,2.567479674796748,2.1235772357723577,57500.0,1604063.349593496,3.0
2,2,1998,101.10818093385214,2.727626459143969,2.2295719844357977,2.818093385214008,60000.0,2299822.18385214,3.0
3,3,1999,108.01703409621672,2.8411957029425503,2.1994395142456797,1.9705744978981785,60000.0,1292033.454927604,3.0
4,4,2000,111.06097810898929,2.829995342338146,2.1229622729389845,1.8202142524452725,65000.0,1545526.91942245,3.0
5,5,2001,86.5794575045208,2.150090415913201,2.63878842676311,3.4276672694394215,66000.0,1209180.3372513563,3.0
6,6,2002,90.50328767123288,2.7320709105560033,2.7836422240128926,2.4061240934730055,67500.0,1051909.822320709,3.0
7,7,2003,87.41146749708058,2.8618139353834176,3.1405216037368624,2.179057999221487,67500.0,1560033.3546126897,3.0
8,8,2004,92.23568125,3.0690625,3.073125,1.6475,67500.0,2220527.3290625,3.0
9,9,2005,81.11392626728112,2.6540706605222733,3.206451612903226,1.5032258064516129,70000.0,2475519.933640553,3.0
10,10,2006,79.79993148450245,2.52300163132137,3.2900489396411094,1.7210440456769984,75000.0,1646431.044045677,3.0
11,11,2007,79.48441014669926,2.499388753056235,3.2078239608801957,2.35880195599022,75000.0,1872602.34596577,3.0
12,12,2008,58.6208544108575,1.946020974706971,3.822023442319556,2.934916718075262,77500.0,1524847.565700185,3.0
13,13,2009,65.23825693606756,2.3549457177322073,3.2997587454764776,2.609167671893848,80000.0,2192012.5262364293,3.0
14,14,2010,69.19587218277246,2.9876505094164867,3.5146650200679224,2.2886693423896265,77500.0,1265974.958011732,3.0
15,15,2011,61.64448364336113,2.9259140474663248,3.745349583066068,2.3255291853752404,80000.0,1018548.5859525336,3.0
16,16,2012,72.99553801546392,3.2058634020618557,3.6968427835051547,2.5531572164948453,80000.0,983326.2113402062,3.0
17,17,2013,74.27727570399476,3.022920759659463,3.712180746561886,2.068107400130976,83000.0,1220023.5088408645,3.0
18,18,2014,80.23669512195121,3.1079268292682927,3.6820121951219513,1.9707317073170731,85000.0,1625924.8600609757,3.0
19,19,2015,88.96059210526316,3.1704545454545454,3.396531100478469,1.881877990430622,90000.0,1862255.91895933,3.0
20,20,2016,85.67519330956951,2.9706608171099536,3.2665204277488344,1.8999177406087195,97000.0,1410298.8332876337,3.0
21,21,2017,91.0414932885906,3.2488015340364336,3.244007670182167,1.580536912751678,100000.0,1777671.6033077661,3.0
22,22,2018,91.52317434210526,3.182095864661654,2.912593984962406,1.4880169172932332,100000.0,1788249.0310150376,3.0
23,23,2019,89.0462089690245,2.921636615811373,2.8541377716135,2.425797503467406,102750.0,2318395.690707351,3.0
24,24,2020,76.85339363557105,3.157585004359198,3.171316477768091,2.834568439407149,110000.0,2461346.4947689627,3.0
25,25,2021,76.26671015843431,3.607642124883504,3.3886300093196646,1.8860671015843429,110000.0,3289283.2299627215,3.0
26,26,2022,57.7082661004954,2.8426515687662186,3.759377211606511,1.4552960603916019,110000.0,2629331.0483604623,3.0
27,27,2023,63.14121951219512,2.460545193687231,3.546628407460545,1.896700143472023,115000.0,3392380.038737446,3.0
